SampleID,X,Y,Z,dist_fault,Lith_Schist,Lith_AndesiteTuff,slope,aspect,Pb,Cu,Zn,dist_to_Cu_hotspot,dist_to_Pb_hotspot,dist_to_Zn_hotspot,Cu_knn_mean,Cu_knn_std,Pb_knn_mean,Pb_knn_std,Zn_knn_mean,Zn_knn_std
1,531990.07,4417573.05,262,772.7477474,1,0,11.96599865,294.8637085,40,15,50,619.5634888,586.0081518,502.4256501,13.875,5.03580927,46.875,7.880950133,36.25,18.99835519
2,531952.17,4417602.94,246,727.6384886,1,0,12.5638361,8.47114563,40,10,25,573.5609143,560.1794386,472.9453526,13.875,5.03580927,46.875,7.880950133,36.25,18.99835519
3,531912.72,4417632.48,246,681.5597935,1,0,14.80542183,62.5255661,55,23,30,527.4524889,538.1345064,447.3151881,14.875,4.960783708,45,8.660254038,40.625,19.9119154
4,531874.49,4417660.84,256,637.4297566,1,0,17.31427002,45,35,15,50,483.6042156,520.6039434,426.7237196,15.5,4.330127019,41.875,7.880950133,46.875,19.83328957
5,531836.42,4417690.01,255,593.8288006,1,0,17.34739304,48.65222168,35,18,60,439.889431,499.8663789,409.8301839,16.5,3.31662479,38.75,8.196798155,56.875,12.48436522
6,531797.89,4417718.65,258,550.5919868,1,0,11.57177353,69.9047699,30,15,55,397.4586373,471.6394371,391.9769884,13.625,3.568525606,35.625,4.635124054,56.875,10.28879852
7,531759.45,4417747.32,256,508.3016109,1,0,11.13741779,282.3807373,30,15,55,356.4535594,446.7621892,362.32985,13.25,3.766629793,35.625,4.635124054,58.75,10.53268722
8,531720.15,4417776.82,248,466.1896458,1,0,12.9503746,281.7683105,40,5,35,316.3802176,425.2535573,336.232635,13.125,3.479852727,36.25,4.841229183,60,11.7260394
9,531682.5,4417805.05,241,427.2604969,1,0,7.299799442,23.74949646,35,15,70,280.7424104,409.1814793,316.4482785,14.5,4.949747468,36.875,4.284784125,64.375,14.23848219
10,531644.19,4417833.33,240,389.4750486,1,0,14.37464142,34.56252289,35,15,60,248.8652652,398.3086549,302.9776682,16.375,5.097487126,34.375,4.635124054,69.375,14.45629188
11,531604.82,4417863.14,239,353.2433131,1,0,16.22153473,358.1524048,35,23,80,221.3251991,392.2585524,295.9391707,19.875,3.479852727,31.25,4.145780988,76.875,8.267972847
12,531567.59,4417891.03,229,322.1432781,1,0,20.19668961,340.6409912,25,20,75,203.3331295,392.4448234,295.8299471,20.75,2.817356917,28.75,4.145780988,80,9.013878189
13,531529.21,4417918.84,212,294.0312488,1,0,11.64242363,348.1785278,25,23,80,195.7253342,392.9350134,296.4507127,23.625,6.537153432,30,8.291561976,88.125,11.43937826
14,531491.2,4417948.05,208,272.3654537,1,0,7.103453159,19.7988739,25,20,90,198.1999486,392.4780496,296.8644073,24.875,7.218682359,38.75,26.30945647,91.875,14.12831819
15,531452.16,4417977.63,209,257.3462644,1,0,9.598044395,19.44003296,25,18,90,195.1598146,393.369569,302.607303,26.125,7.131575913,43.75,25.58686186,92.5,13.91941091
16,531412.65,4418007.11,201,250.7707941,1,0,15.72506618,1.90914917,105,33,115,196.0405119,393.6265344,265.6811334,23.625,5.023382824,41.875,25.60975156,88.125,12.48436522
17,531373.36,4418035.89,198,253.2712934,1,0,4.550739288,135,35,20,90,199.9004443,400.3193391,221.4849935,24.875,6.293597938,44.375,24.55064918,85,13.91941091
18,531335.04,4418064.76,209,265.2423224,1,0,19.47328186,158.1985931,35,20,90,214.1366833,411.8550488,179.8814393,23.625,6.440836514,43.125,23.8402889,80.625,18.94688299
19,531295.98,4418093.99,235,285.1501556,1,0,23.13375282,162.7585449,40,20,70,237.9799249,428.9520869,141.893315,22.375,5.935855035,34.375,4.635124054,80.625,17.57795139
20,531257.82,4418122.74,247,311.0242804,1,0,18.37820053,198.9465027,30,23,85,267.8582485,450.0816703,112.9113351,26.125,10.76379928,33.125,5.555121511,85,22.91287847
21,531219.89,4418151.7,248,341.843553,1,0,14.1745882,248.1985931,35,18,75,302.1324936,474.8101127,99.36323293,26.125,10.76379928,33.125,5.555121511,85,22.91287847
22,532044.08,4417654.77,255,804.4233718,0,1,12.07358742,322.125,50,10,25,590.2228585,503.0925837,425.9277046,12.375,4.768057781,45.625,9.164298937,28.75,11.65922382
23,532006.25,4417684.04,243,761.8864326,0,1,11.98305893,315,60,8,20,542.9671081,474.2080416,392.3533537,13,5.361902647,46.25,8.926785536,31.875,18.36053853
